Date,Region,Category,Product,Sales,Profit,Quantity
2023-01-01,North,Electronics,Laptop,1200.50,240.10,5
2023-01-02,South,Furniture,Chair,450.75,90.15,10
2023-01-03,East,Office Supplies,Paper,75.25,15.05,20
2023-01-04,West,Electronics,Phone,800.00,160.00,8
2023-01-05,North,Furniture,Desk,550.25,110.05,4
2023-01-06,South,Office Supplies,Pens,25.50,5.10,15
2023-01-07,East,Electronics,Tablet,600.00,120.00,6
2023-01-08,West,Furniture,Bookcase,350.75,70.15,3
2023-01-09,North,Office Supplies,Stapler,15.25,3.05,10
2023-01-10,South,Electronics,Monitor,300.50,60.10,4
2023-02-01,East,Furniture,Sofa,1500.00,300.00,2
2023-02-02,West,Office Supplies,Notebook,30.25,6.05,25
2023-02-03,North,Electronics,Printer,250.75,50.15,3
2023-02-04,South,Furniture,Table,400.00,80.00,5
2023-02-05,East,Office Supplies,Binder,45.50,9.10,18
2023-02-06,West,Electronics,Keyboard,125.25,25.05,7
2023-02-07,North,Furniture,Filing Cabinet,275.00,55.00,2
2023-02-08,South,Office Supplies,Scissors,12.50,2.50,20
2023-02-09,East,Electronics,Mouse,35.75,7.15,15
2023-02-10,West,Furniture,Chair,475.50,95.10,12
2023-03-01,North,Office Supplies,Paper Clips,5.25,1.05,50
2023-03-02,South,Electronics,Headphones,150.00,30.00,10
2023-03-03,East,Furniture,Desk Lamp,55.75,11.15,8
2023-03-04,West,Office Supplies,Calendar,18.50,3.70,15
2023-03-05,North,Electronics,Speakers,175.25,35.05,6
2023-03-06,South,Furniture,Ottoman,125.00,25.00,4
2023-03-07,East,Office Supplies,Sticky Notes,8.75,1.75,30
2023-03-08,West,Electronics,External Hard Drive,95.50,19.10,5
2023-03-09,North,Furniture,Armchair,325.75,65.15,3
2023-03-10,South,Office Supplies,Markers,15.00,3.00,20 
